title,Link,is_phone,company,model,storage,name
B*u*ying iphones,https://chicago.craigslist.org/chc/mob/d/buying-iphones/6754415580.html,0,,,,Vivek
Sport Armband [With Full Touch Screen Functionality],https://chicago.craigslist.org/chc/mob/d/sport-armband-with-full-touch/6758483674.html,0,,,,Vivek
GALAXY S8+ TITANIUM CASE,https://chicago.craigslist.org/chc/mob/d/galaxy-s8-titanium-case/6758478957.html,0,,,,Vivek
Rugged Galaxy S8+ case,https://chicago.craigslist.org/chc/mob/d/rugged-galaxy-s8-case/6758478631.html,0,,,,Vivek
Galaxy S6 Edge Plus | T Mobile | Like New!,https://chicago.craigslist.org/chc/mob/d/galaxy-s6-edge-plus-mobile/6764222661.html,1,samsung,galaxy s6,,Vivek
Samsung Galaxy Note 2,https://chicago.craigslist.org/nwc/mob/d/samsung-galaxy-note-2/6760085631.html,1,samsung,galaxy note 2,,Vivek
Apple iPhone 6 Space Gray - Sprint,https://chicago.craigslist.org/chc/mob/d/apple-iphone-6-space-gray/6757776829.html,1,apple,iphone 6,,Vivek
Galaxy S8 Case Clear Slim Hybrid Armor Perfect Fit Hard Back Soft Sili,https://chicago.craigslist.org/nwc/mob/d/galaxy-s8-case-clear-slim/6752468291.html,0,,,,Vivek
Dual SIM Card Adapter 2 SIM Holder Converter Micro for iPhone Galaxy,https://chicago.craigslist.org/nwc/mob/d/dual-sim-card-adapter-2-sim/6752461285.html,0,,,,Vivek
iPhone 7 - 128 GB - UNLOCKED - Like New!,https://chicago.craigslist.org/chc/mob/d/iphonegb-unlocked-like-new/6760648266.html,1,apple,iphone 7,128gb,Vivek
iPhone 7 | UNLOCKED | 32 GB | Mint!,https://chicago.craigslist.org/chc/mob/d/iphone-7-unlocked-32-gb-mint/6762557422.html,1,apple,iphone 7,32gb,Vivek
IPhone 5,https://chicago.craigslist.org/wcl/mob/d/iphone-5/6764219693.html,1,apple,iphone 5,,Vivek
Unlocked - Iphone 7 plus - 128 GB - Black - Mint Condition,https://chicago.craigslist.org/nwc/mob/d/unlocked-iphone-7-plus-128-gb/6764219147.html,1,apple,iphone 7 plus,128gb,Vivek
Google Pixel 2 64GB In Box,https://chicago.craigslist.org/chc/mob/d/google-pixel-2-64gb-in-box/6764216025.html,1,google,pixel 2,64gb,Vivek
iPhone X's Max,https://chicago.craigslist.org/chc/mob/d/iphone-xs-max/6764215925.html,1,apple,iphone xs max,,Vivek
Apple 📱iPhone 8 64gb for Sprint Network,https://chicago.craigslist.org/sox/mob/d/apple-iphone-8-64gb-for/6754069936.html,1,apple,iphone 8,64gb,Vivek
I B*U*Y PHONES 4 CASH ❗️ iPhone xs and iPhone xs max ✅,https://chicago.craigslist.org/chc/mob/d/buy-phones-4-cash-iphone-xs/6764195454.html,0,,,,Vivek
iPhone 7 / 32GB / Matte Black (like new!),https://chicago.craigslist.org/nch/mob/d/iphone-7-32gb-matte-black/6758317902.html,1,apple,iphone 7,32gb,Vivek
Apple Watch 42mm Gold,https://chicago.craigslist.org/wcl/mob/d/apple-watch-42mm-gold/6740944078.html,0,,,,Vivek
iPhone 6S For Sale - Brand New Battery & Glass Screen Protecter,https://chicago.craigslist.org/chc/mob/d/iphone-6s-for-sale-brand-new/6761522140.html,1,apple,iphone 6s,,Vivek
iPhone X 256gb Space Gray,https://chicago.craigslist.org/wcl/mob/d/iphone-256gb-space-gray/6752713201.html,1,apple,iphone x,256gb,Vivek
4 iPhones: 6+,https://chicago.craigslist.org/wcl/mob/d/4-iphones-6/6760924988.html,1,apple,iphone 6 plus,,Vivek
Iphone 5s,https://chicago.craigslist.org/nwc/mob/d/iphone-5s/6764199886.html,1,apple,iphone 5s,,Vivek
Verizon iPhone 4S 64GB (Factory Unlocked),https://chicago.craigslist.org/chc/mob/d/verizon-iphone-4s-64gb/6751952638.html,1,apple,iphone 4s,64gb,Vivek
Sprint iPhone 5s,https://chicago.craigslist.org/wcl/mob/d/sprint-iphone-5s/6764194586.html,1,apple,iphone 5s,,Vivek
iPhone 7 black 128 GB UNLOCKED looks like new,https://chicago.craigslist.org/chc/mob/d/iphone-7-black-128-gb/6764190210.html,1,apple,iphone 7,128gb,Vivek
Apple IPhone 8 Plus 64GB Gold,https://chicago.craigslist.org/wcl/mob/d/apple-iphone-8-plus-64gb-gold/6764184031.html,1,apple,iphone 8 plus,64gb,Vivek
Tracphone cell phone,https://chicago.craigslist.org/wcl/mob/d/tracphone-cell-phone/6754827363.html,0,,,,Vivek
New Android phone T-Mobile & AT&T,https://chicago.craigslist.org/wcl/mob/d/new-android-phone-mobile-att/6754817523.html,0,,,,Vivek
Apple Iphone 6Plus Unlocked ATT,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-6plus-unlocked/6749331422.html,1,apple,iphone 6 plus,,Vivek
iPhone 5 or 5s case,https://chicago.craigslist.org/nwc/mob/d/iphone-5-or-5s-case/6751626416.html,0,,,,Vivek
iPhone 7 256gb Black ATT Apple,https://chicago.craigslist.org/nwc/mob/d/iphone-7-256gb-black-att-apple/6751483424.html,1,apple,iphone 7,256gb,Vivek
iPhone 5s Gold 16gb ATT Apple,https://chicago.craigslist.org/nwc/mob/d/iphone-5s-gold-16gb-att-apple/6752100611.html,1,apple,iphone 5s,16gb,Vivek
iPhone 5 6 7 8 X XS instant unlock,https://chicago.craigslist.org/chc/mob/d/iphonexs-instant-unlock/6762025967.html,0,,,,Vivek
Lg Stylo 2 Boost Mobile - Good Condition,https://chicago.craigslist.org/chc/mob/d/lg-stylo-2-boost-mobile-good/6764159137.html,1,lg,stylo 2,,Vivek
Samsung GALAXY S7 UNLOCK 32GB BLACK AND GOLD,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-s7-unlock-32gb/6764145469.html,1,samsung,galaxy s7,32gb,Vivek
IPhone 6 128 GB Mint,https://chicago.craigslist.org/chc/mob/d/iphonegb-mint/6764119557.html,1,apple,iphone 6,128gb,Vivek
PNY 64GB micro SD card (new),https://chicago.craigslist.org/sox/mob/d/pny-64gb-micro-sd-card-new/6764148209.html,0,,,,Vivek
iOttie Easy One Touch Mini Car Mount,https://chicago.craigslist.org/nwc/mob/d/iottie-easy-one-touch-mini/6759095959.html,0,,,,Vivek
Two Bumper Cases for iPhone 6/6s,https://chicago.craigslist.org/nwc/mob/d/two-bumper-cases-for-iphone-6/6751168048.html,0,,,,Vivek
Pink/Purple Note 9 512GB,https://chicago.craigslist.org/chc/mob/d/pink-purple-note-9-512gb/6758373599.html,1,samsung,galaxy note 9,512gb,Vivek
Money for your iPhones,https://chicago.craigslist.org/nch/mob/d/money-for-your-iphones/6748950205.html,0,,,,Vivek
iPhone 6S 64GB Rose Gold,https://chicago.craigslist.org/sox/mob/d/iphone-6s-64gb-rose-gold/6764139345.html,1,apple,iphone 6s,64gb,Vivek
iPhone 7 256GB - Unlocked - Like New,https://chicago.craigslist.org/nwc/mob/d/iphone-7-256gb-unlocked-like/6762462186.html,1,apple,iphone 7,256gb,Vivek
"Samsung galaxy note 9 128GB, 256 MicroSD, wireless charger",https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-note-9-128gb/6764132496.html,1,samsung,galaxy note 9,128gb,Vivek
I-phone 8 And I-phone 8 plus,https://chicago.craigslist.org/sox/mob/d/phone-8-and-phone-8-plus/6764128214.html,1,apple,iphone 8,,Vivek
Samsung Galaxy Note 4 Factory Unlocked,https://chicago.craigslist.org/nch/mob/d/samsung-galaxy-note-4-factory/6754804052.html,1,samsung,galaxy note 4,,Vivek
IPhone 6 128 GB Mint,https://chicago.craigslist.org/chc/mob/d/iphonegb-mint/6762348694.html,1,apple,iphone 6,128gb,Vivek
iPhone 6 Plus 64GB AT&T,https://chicago.craigslist.org/sox/mob/d/iphone-6-plus-64gb-att/6764119349.html,1,apple,iphone 6,64gb,Vivek
GET YOUR CRACKED SCREEN REPAIRED !! Cheapest/ Quickest,https://chicago.craigslist.org/nch/mob/d/get-your-cracked-screen/6764043136.html,0,,,,Vivek
BRAND NEW RoadKing® RKHD4 - Heavy Duty Dual 4.8A USB Car Charger,https://chicago.craigslist.org/nwc/mob/d/brand-new-roadking-rkhd4/6745170829.html,0,,,,Vivek
Audiology Connect Adjustable Universal Cell phone Holder Gooseneck Han,https://chicago.craigslist.org/nwc/mob/d/audiology-connect-adjustable/6760047858.html,0,,,,Vivek
SALE! LAPTOPS phones TABLETS $100 OFF DISCOUNT :),https://chicago.craigslist.org/chc/mob/d/sale-laptops-phones-tablets/6755853743.html,0,,,,Vivek
iPhone 7+ Plus 32GB MATTE BLACK Factory UNLOCKED NEW Cond. W/ Sealed Accessories,https://chicago.craigslist.org/nwc/mob/d/iphone-7-plus-32gb-matte/6764073826.html,1,apple,iphone 7 plus,32gb,Vivek
iPhone 8 / 7 leather case,https://chicago.craigslist.org/chc/mob/d/iphone-8-7-leather-case/6762273693.html,0,,,,Vivek
LG PHONE METRO PCS,https://chicago.craigslist.org/chc/mob/d/lg-phone-metro-pcs/6764109973.html,1,lg,,,Vivek
IMEI CLEANING& FACTORY UNLOCK@airtec,https://chicago.craigslist.org/sox/mob/d/imei-cleaning-factory/6752824655.html,0,,,,Vivek
For Sale IPhone6s 📱 Parts Only,https://chicago.craigslist.org/nwc/mob/d/for-sale-iphone6s-parts-only/6746833239.html,1,apple,iphone 6s,,Vivek
For Sale IPhone 4s GB16,https://chicago.craigslist.org/nwc/mob/d/for-sale-iphone-4s-gb16/6761977594.html,1,apple,iphone 4s,16gb,Vivek
SAMSUNG NOTE 8 NOTE 9 S8&S9 ON SALE @AIRTEC WIRELESS 410 S CLARK...,https://chicago.craigslist.org/chc/mob/d/samsung-note-8-note-9-s8s9-on/6759879159.html,0,,,,Vivek
Instant unlock any iphone for any carrier 5MINS@AIRTEC 410S CLARK,https://chicago.craigslist.org/sox/mob/d/instant-unlock-any-iphone-for/6749008597.html,0,,,,Vivek
PHONES FOR Cheap Price @ AIR TEC 410 S CLARK (WE HAVE THE GALAXY S9,https://chicago.craigslist.org/nch/mob/d/phones-for-cheap-price-air/6744014037.html,0,,,,Vivek
Buy used or new phone from a CERTIFIED dealer,https://chicago.craigslist.org/sox/mob/d/buy-used-or-new-phone-from/6753869206.html,0,,,,Vivek
IPHONE 7 UNLOCK 128GB @AIRTEC 410 S CLARK,https://chicago.craigslist.org/chc/mob/d/iphone-7-unlock-128gb-airtec/6759260728.html,1,apple,iphone 7,128gb,Vivek
Ipads and tablets,https://chicago.craigslist.org/chc/mob/d/ipads-and-tablets/6754794972.html,0,,,,Vivek
iPhone X 256GB,https://chicago.craigslist.org/wcl/mob/d/iphone-256gb/6764091161.html,1,apple,iphone x,256gb,Vivek
Unlock UR IPHONE NOW~any iphone in 5 mins yes any iphone@410 S CLARK,https://chicago.craigslist.org/chc/mob/d/unlock-ur-iphone-nowany/6753677967.html,0,,,,Vivek
Best iPhone repair in town! Cheapest/ Quickest,https://chicago.craigslist.org/nch/mob/d/best-iphone-repair-in-town/6764043857.html,0,,,,Vivek
PHONES LIKE GALAXY S8S9 HTC M10 LG V20 V30 V35 AND MORE @AIRTEC *,https://chicago.craigslist.org/chc/mob/d/phones-like-galaxy-s8s9-htc/6753155480.html,0,,,,Vivek
"BLACKBERRY ""7"" 16GB PLAYBOOK",https://chicago.craigslist.org/wcl/mob/d/blackberry-7-16gb-playbook/6764006183.html,0,,,,Vivek
"BLACKBERRY ""7"" 16GB PLAYBOOK",https://chicago.craigslist.org/wcl/mob/d/blackberry-7-16gb-playbook/6764005978.html,0,,,,Vivek
Moto Z2 Force 64GB - Unlocked (AT&T / T-mobile),https://chicago.craigslist.org/chc/mob/d/moto-z2-force-64gb-unlocked/6760086242.html,1,motorola,moto z2,64gb,Vivek
Brand New Factory Unlocked iPhone XS MAX 64GB Black,https://chicago.craigslist.org/nwc/mob/d/brand-new-factory-unlocked/6751546883.html,1,apple,iphone xs max,64gb,Vivek
FREE phone,https://chicago.craigslist.org/chc/mob/d/free-phone/6749584973.html,0,,,,Vivek
T-Mobile HTC W/ Sense,https://chicago.craigslist.org/sox/mob/d/mobile-htc-sense/6758325506.html,1,htc,,,Vivek
Like New Nokia E5,https://chicago.craigslist.org/sox/mob/d/like-new-nokia-e5/6758328314.html,1,nokia,e5,,Vivek
NEW Otter box for Samsung S6 EDGE+,https://chicago.craigslist.org/chc/mob/d/new-otter-box-for-samsung-s6/6741753301.html,0,,,,Vivek
CLEAN UNLOCKED IPHONE 7 PLUS 32GB,https://chicago.craigslist.org/sox/mob/d/clean-unlocked-iphone-7-plus/6758322802.html,1,apple,iphone 7 plus,32gb,Vivek
CLEAN IPHONE 6 PLUS UNLOCKED,https://chicago.craigslist.org/sox/mob/d/clean-iphone-6-plus-unlocked/6758324825.html,1,apple,iphone 6 plus,,Vivek
Samsung Galaxy J2 core J260M Factory Unlocked,https://chicago.craigslist.org/chc/mob/d/samsung-galaxy-j2-core-j260m/6764030076.html,1,samsung,galaxy j2 core,,Vivek
T-Mobile - iPhone 8 Plus - RED - 256GB,https://chicago.craigslist.org/chc/mob/d/mobile-iphone-8-plus-red-256gb/6764047263.html,1,apple,iphone 8 plus,256gb,Vivek
Samsung Galaxy S5 Verizon 16GB,https://chicago.craigslist.org/nch/mob/d/samsung-galaxy-s5-verizon-16gb/6747184219.html,1,samsung,galaxy s5,16gb,Vivek
Samsung Galaxy S5 Verizon 16GB,https://chicago.craigslist.org/nch/mob/d/samsung-galaxy-s5-verizon-16gb/6747184489.html,1,samsung,galaxy s5,16gb,Vivek
Samsung Galaxy S5 Verizon 16GB,https://chicago.craigslist.org/nch/mob/d/samsung-galaxy-s5-verizon-16gb/6747183344.html,1,samsung,galaxy s5,16gb,Vivek
Iphone 7-Plus 32GB (T-mobile),https://chicago.craigslist.org/nwc/mob/d/iphone-7-plus-32gb-mobile/6747615370.html,1,apple,iphone 7 plus,32gb,Vivek
LG G5 TMobile 32GB,https://chicago.craigslist.org/nch/mob/d/lg-g5-tmobile-32gb/6760079428.html,1,lg,g5,32gb,Vivek
iPhone iPad Samsung Screen LCD Battery Repair 8/8+ 7/7+ /6S/6+ /5S,https://chicago.craigslist.org/chc/mod/d/iphone-ipad-samsung-screen/6764073604.html,0,,,,Vivek
Galaxy s9 plus new UNLOCKED,https://chicago.craigslist.org/wcl/mob/d/galaxy-s9-plus-new-unlocked/6764070155.html,1,samsung,galaxy s9,,Vivek
Selling Pink/Purple Note 9 New in Box T-Mobile 512GB,https://chicago.craigslist.org/nch/mob/d/selling-pink-purple-note-9/6741332503.html,1,samsung,galaxy note 9,512gb,Vivek
iPhone X 256 gb,https://chicago.craigslist.org/chc/mob/d/iphone-256-gb/6764064672.html,1,apple,iphone x,256gb,Vivek
Money for your iphone,https://chicago.craigslist.org/nch/mob/d/money-for-your-iphone/6757252867.html,0,,,,Vivek
Samsung Galaxy S9,https://chicago.craigslist.org/sox/mob/d/samsung-galaxy-s9/6764062774.html,1,samsung,galaxy s9,,Vivek
T-Mobile - iPhone 8 Plus - 256GB - RED,https://chicago.craigslist.org/chc/mob/d/mobile-iphone-8-plus-256gb-red/6764046370.html,1,apple,iphone 8 plus,256gb,Vivek
UNLOCK UR PHONE ANY IPHONE IN 5 MINS @Airtec 410 S CLARK,https://chicago.craigslist.org/chc/mob/d/unlock-ur-phone-any-iphone-in/6761502613.html,0,,,,Vivek
Apple iPhone 7 128GB RED & White Factory UNLOCKED Brand NEW IN BOX Accessories,https://chicago.craigslist.org/nwc/mob/d/apple-iphone-7-128gb-red/6744415293.html,1,apple,iphone 7,128gb,Vivek
iPhone 7 128GB JET BLACK Factory UNLOCKED NEW IN BOX Sealed Accessories,https://chicago.craigslist.org/nwc/mob/d/iphone-7-128gb-jet-black/6761933615.html,1,apple,iphone 7,128gb,Vivek
